market,itemName,image,period,price,disc_price
costco,프로쉬 냉장고 클리너 300ml x 3,/medias/sys_master/images/h09/hbf/103561052094494.jpg,행사기간 2023/01/30 - 2023/02/12,"18,290원","할인금액 2,500원"
costco,쿤달 허니 앤 마카다미아 퓨어 바디워시x 2 + 리필x 1,/medias/sys_master/images/hc1/hcc/121567708676126.jpg,행사기간 2023/01/30 - 2023/02/12,"17,990원","할인금액 2,000원"
costco,티롤리아 남성용 장갑,/medias/sys_master/images/h45/h8f/116031423152158.jpg,행사기간 2023/01/30 - 2023/02/12,"17,490원","할인금액 7,000원"
costco,3M 유리용 보온시트 ３개입,/medias/sys_master/images/h97/h0a/9857200029726.jpg,행사기간 2023/01/23 - 2023/02/05,"17,490원","할인금액 2,000원"
costco,셀렉스밀크세라마이드콜라겐 2.9GX40포,/medias/sys_master/images/h1f/hcd/115498830659614.jpg,행사기간 2023/01/16 - 2023/02/05,"16,990원","할인금액 9,000원"
costco,소프리스 발 뒤꿈치 필링 마스크 8매,/medias/sys_master/images/hf6/h36/114776144805918.jpg,행사기간 2023/01/30 - 2023/02/12,"16,990원","할인금액 4,000원"
costco,매일 셀렉스 곡물견과믹스 125ml x 20포,/medias/sys_master/images/h7c/h7d/65230623244318.jpg,행사기간 2023/01/23 - 2023/02/05,"16,990원","할인금액 4,000원"
costco,테이스틴 단백질 곤약밥 두부&현미귀리150g x 8,/medias/sys_master/images/hc0/h95/135872329842718.jpg,행사기간 2023/01/30 - 2023/02/12,"16,290원","할인금액 2,200원"
costco,32디그리 여성 풀오버 크루티,/medias/sys_master/images/h1b/h68/134742674407454.jpg,행사기간 2023/01/16 - 2023/02/05,"15,990원","할인금액 2,500원"
costco,레드씰 레몬 SLS Free치약 100g x 4,/medias/sys_master/images/hcf/hf3/33419850317854.jpg,행사기간 2023/01/30 - 2023/02/12,"15,490원","할인금액 3,500원"
costco,레드씰 허브치약 110g x 4,/medias/sys_master/images/h20/hfc/33419850809374.jpg,행사기간 2023/01/30 - 2023/02/12,"15,490원","할인금액 3,500원"
costco,켈로그리얼그래놀라400g x 3개입,/medias/sys_master/images/h6c/h32/17009962385438.jpg,행사기간 2023/01/30 - 2023/02/05,"14,690원","할인금액 2,500원"
costco,커클랜드시그니춰유기농건체리567g / 최소구매 2,/medias/sys_master/images/hdd/hf8/132755366576158.jpg,행사기간 2023/02/01 - 2023/02/05,"13,890원","할인금액 2,000원"
costco,티젠 핫콤부 5g x 40  / 최소구매 2,/medias/sys_master/images/h5a/hc6/134182087688222.jpg,행사기간 2023/01/30 - 2023/02/05,"12,990원","할인금액 3,500원"
costco,인라이프 대용량 포켓용 핫팩 150g x 30개,/medias/sys_master/images/h79/h6c/118883947053086.jpg,행사기간 2023/01/23 - 2023/02/05,"11,990원","할인금액 2,000원"
